School,Metric,Value,MeasureID,Type,Period,Detail,Source,ValidationStatus,ValidatedPeriod,ValidationNote
Innovation Central Middle School,African American ELA Proficient,48%,,Equity context,CNA current,Derived complement of the school CNA statement that 52% of African American scholars were not proficient in ELA.,RMS CNA Workbook,Validated — derived,2024-25 CNA,Derived complement of 52% not proficient. Not directly stated in source.
Ridgemoor Park Montessori,Chronic Absence,20%,3.1,ENDS-aligned building result,2025-26 CNA,School CNA states 20% of scholars are moderately or severely chronically absent.,Ridgemoor Park Montessori CNA Workbook,Validated — direct source,2025-26 CNA,Directly stated as moderate + severe chronic absence.
Ridgemoor Park Montessori,Positive Attendance,80%,,Attendance context,2025-26 CNA,School CNA states 80% positive/satisfactory attendance.,Ridgemoor Park Montessori CNA Workbook,Validated — direct source,2025-26 CNA,Directly stated school attendance context.
Ridgemoor Park Montessori,Grade 3 M-STEP Proficiency,44%,2.4,ENDS-adjacent grade-level result,Spring 2025,School-level M-STEP passing report lists 44% for all Grade 3 students (n=25).,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Validated — direct source,Spring 2025,Direct school all-student Grade 3 result.
Ridgemoor Park Montessori,Grade 3 M-STEP Proficiency,42%,2.4,Historical grade-level result,Spring 2024,School-level M-STEP passing report lists 42% for all Grade 3 students (n=26).,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Validated — direct source,Spring 2024,Direct school all-student Grade 3 result.
Ridgemoor Park Montessori,Grade 4 M-STEP Proficiency,46%,,Grade-level academic context,Spring 2025,School-level M-STEP passing report lists 46% for all Grade 4 students (n=22).,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Validated — direct source,Spring 2025,Direct school all-student Grade 4 result.
Ridgemoor Park Montessori,Grade 3 M-STEP — Female,60%,2.4,Subgroup context,Spring 2025,Grade 3 female subgroup result; n=15.,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Validated — direct source,Spring 2025,Direct subgroup result; denominator retained.
Ridgemoor Park Montessori,Grade 3 M-STEP — Male,20%,2.4,Subgroup context,Spring 2025,Grade 3 male subgroup result; n=10.,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Validated — direct source,Spring 2025,Direct subgroup result; denominator retained.
Aberdeen Academy,M-STEP Target Analysis Source,Available,,Source availability,Spring 2025,School-specific M-STEP target-analysis workbook located; includes Grade 3 ELA standards analysis with 31 students assessed.,Aberdeen MSTEP-TargetAnalysis-School.xlsx,Validated — source located,Spring 2025,Useful for diagnostic standard-level analysis; not a proficiency KPI by itself.
Harrison Park,M-STEP Target Analysis Source,Available,,Source availability,Spring 2025,School-specific M-STEP target-analysis workbook located; includes Grade 3 ELA standards analysis with 85 students assessed.,Harrison - MSTEP-TargetAnalysis-School.xlsx,Validated — source located,Spring 2025,Useful for diagnostic standard-level analysis; not a proficiency KPI by itself.
